iter	Passed	Remaining
415	2813	3949
416	2819	3941
417	2824	3932
418	2828	3921
419	2832	3911
420	2837	3901
421	2842	3893
422	2847	3884
423	2851	3874
424	2856	3864
425	2860	3854
426	2864	3843
427	2868	3833
428	2872	3823
429	2877	3814
430	2881	3804
431	2886	3794
432	2890	3785
433	2896	3777
434	2900	3767
435	2905	3758
436	2908	3747
437	2913	3737
438	2918	3729
439	2923	3720
440	2928	3711
441	2932	3702
442	2936	3692
443	2941	3683
444	2946	3675
445	2951	3666
446	2957	3658
447	2962	3650
448	2967	3641
449	2972	3633
450	2979	3627
451	2984	3618
452	2992	3614
453	2998	3605
454	3005	3599
455	3012	3594
456	3017	3585
457	3025	3580
458	3032	3574
459	3041	3570
460	3048	3564
461	3054	3556
462	3060	3549
463	3065	3541
464	3070	3532
465	3081	3530
466	3090	3527
467	3095	3518
468	3101	3511
469	3108	3505
470	3113	3497
471	3121	3491
472	3126	3482
473	3133	3476
474	3139	3469
475	3144	3462
476	3149	3453
477	3155	3446
478	3161	3438
479	3167	3431
480	3176	3427
481	3181	3419
482	3190	3415
483	3198	3410
484	3206	3404
485	3210	3395
486	3217	3388
487	3222	3380
488	3227	3372
489	3234	3366
490	3240	3359
491	3250	3356
492	3263	3356
493	3273	3353
494	3281	3347
495	3287	3340
496	3293	3333
497	3302	3329
498	3311	3324
499	3322	3322
500	3338	3325
501	3350	3324
502	3359	3319
503	3368	3314
504	3376	3309
505	3393	3313
506	3402	3309
507	3410	3302
508	3417	3296
509	3426	3292
510	3439	3291
511	3449	3288
512	3457	3282
513	3467	3278
514	3477	3274
515	3485	3269
516	3499	3269
517	3507	3264
518	3517	3259
519	3525	3253
520	3531	3247
521	3539	3240
522	3546	3234
523	3555	3229
524	3563	3224
525	3577	3223
526	3584	3217
527	3591	3210
528	3596	3202
529	3605	3197
530	3613	3191
531	3622	3186
532	3633	3183
533	3640	3177
534	3647	3169
535	3653	3163
536	3661	3156
537	3669	3151
538	3677	3144
539	3685	3139
540	3693	3133
541	3700	3127
542	3710	3122
543	3719	3117
544	3728	3113
545	3734	3105
546	3744	3101
547	3750	3093
548	3757	3086
549	3763	3079
550	3768	3070
551	3779	3067
552	3785	3059
553	3799	3058
554	3807	3053
555	3816	3047
556	3824	3041
557	3831	3034
558	3835	3025
559	3842	3019
560	3851	3014
561	3862	3009
562	3868	3002
563	3876	2996
564	3884	2990
565	3897	2988
566	3905	2982
567	3916	2978
568	3928	2975
569	3938	2971
570	3947	2965
571	3952	2957
572	3959	2950
573	3965	2943
574	3971	2935
575	3979	2929
576	3987	2923
577	3993	2915
578	4000	2908
579	4007	2901
580	4014	2895
581	4021	2888
582	4028	2881
583	4039	2877
584	4046	2870
585	4051	2862
586	4056	2853
587	4064	2848
588	4074	2842
589	4080	2835
590	4090	2830
591	4094	2822
592	4100	2814
593	4107	2807
594	4112	2799
595	4120	2793
596	4128	2786
597	4138	2781
598	4153	2780
599	4163	2775
600	4169	2767
601	4177	2762
602	4184	2754
603	4189	2746
604	4197	2740
605	4205	2734
606	4213	2727
607	4220	2721
608	4230	2716
609	4237	2709
610	4247	2704
611	4256	2698
612	4272	2697
613	4282	2692
614	4302	2693
615	4312	2688
616	4318	2680
617	4323	2672
618	4328	2664
619	4334	2656
620	4341	2649
621	4359	2649
622	4385	2653
623	4408	2656
624	4445	2667
625	4462	2666
626	4479	2664
627	4497	2663
628	4512	2661
629	4521	2655
630	4537	2653
631	4550	2649
632	4559	2643
633	4566	2636
634	4576	2630
635	4593	2629
636	4603	2623
637	4628	2626
638	4651	2627
639	4660	2621
640	4685	2624
641	4703	2622
642	4741	2632
643	4764	2633
644	4774	2628
645	4788	2624
646	4797	2617
647	4806	2610
648	4820	2606
649	4827	2599
650	4834	2591
651	4843	2585
652	4862	2583
653	4896	2590
654	4910	2586
655	4928	2584
656	4948	2583
657	4968	2582
658	4986	2580
659	5001	2576
660	5009	2568
661	5018	2562
662	5032	2558
663	5043	2551
664	5049	2543
665	5057	2536
666	5068	2530
667	5077	2523
668	5084	2515
