iter	Logloss
0	0.6856687377
1	0.6783688085
2	0.6689363856
3	0.6611407014
4	0.6535155627
5	0.6475433557
6	0.6399626959
7	0.6336984959
8	0.6269696813
9	0.6210261754
10	0.6141529732
11	0.6084821532
12	0.6022059123
13	0.5967576423
14	0.5904896535
15	0.5834085374
16	0.5779174493
17	0.5715066819
18	0.5669167447
19	0.5608956992
20	0.5552202082
21	0.5507027243
22	0.5463621178
23	0.541196343
24	0.5360182678
25	0.5318194539
26	0.5271848302
27	0.5221630278
28	0.5175529013
29	0.5126652101
30	0.5092891771
31	0.5050601051
32	0.5016211685
33	0.4981929234
34	0.4941883736
35	0.490239617
36	0.486409609
37	0.4823152711
38	0.4783220356
39	0.4754447678
40	0.4719195723
41	0.4684723316
42	0.4651328366
43	0.4612341641
44	0.4587377431
45	0.4554389383
46	0.4521556517
47	0.4492214488
48	0.4458961746
49	0.4428758686
50	0.4391951788
51	0.4363736522
52	0.4341959791
53	0.4314981577
54	0.4292353935
55	0.4263776922
56	0.4237041344
57	0.4220316621
58	0.4199367705
59	0.4180897304
60	0.4158440415
61	0.4132028696
62	0.411167534
63	0.4084915888
64	0.4066149394
65	0.4046815107
66	0.402812309
67	0.4011236697
68	0.3988139354
69	0.3969331339
70	0.3948261495
71	0.393354377
72	0.3910299807
73	0.3891884681
74	0.3871803803
75	0.3854215713
76	0.3839683792
77	0.3824033672
78	0.3812516401
79	0.3800420437
80	0.3780977937
81	0.3762440065
82	0.3749001951
83	0.3727452544
84	0.3707251257
85	0.3694042284
86	0.368011786
87	0.3661585698
88	0.3642370003
89	0.3624112914
90	0.36114476
91	0.3593198815
92	0.3583592525
93	0.3570319455
94	0.3555594723
95	0.3545082507
96	0.3531817741
97	0.3523087274
98	0.3512606718
99	0.3499188585
100	0.3488434253
101	0.347750294
102	0.3464483404
103	0.3450074228
104	0.3440742752
105	0.3432324468
106	0.3419042834
107	0.3407492865
108	0.3395214989
109	0.3383939574
110	0.3376568645
111	0.3368436333
112	0.3358889729
113	0.3349537233
114	0.3335749568
115	0.3324878978
116	0.3311193038
117	0.3297165332
118	0.3288686324
119	0.327817826
120	0.3269963167
121	0.3262993949
122	0.3253612389
123	0.3245596853
124	0.3237698094
125	0.3226077021
126	0.321217751
127	0.3198598485
128	0.3187846748
129	0.3179807598
130	0.3170375954
131	0.3158124288
132	0.3147450142
133	0.3137874993
134	0.3129279987
135	0.3120265623
136	0.3114971239
137	0.3106370783
138	0.3100477984
139	0.3093232395
140	0.3085710694
141	0.3080492085
142	0.3071272973
143	0.3065117557
144	0.3061092922
145	0.3050478462
146	0.3039334875
147	0.3028256682
148	0.3021952571
149	0.3015777173
150	0.3009749951
151	0.3003391344
152	0.299613226
153	0.2989417874
154	0.2982239756
155	0.2974776703
156	0.2967075166
157	0.2961403983
158	0.2956274642
159	0.2949045921
160	0.2944436106
161	0.2935933483
162	0.2929523234
163	0.2923911737
164	0.2919598274
165	0.2916702997
166	0.2908951377
167	0.290102537
168	0.2893095471
169	0.2886584794
170	0.288016209
171	0.2876404743
172	0.2869305254
173	0.2863988033
174	0.2858218238
175	0.2853248752
176	0.2848264214
177	0.2844206622
178	0.2839335227
179	0.2833056807
180	0.2826228239
181	0.2819600008
182	0.2813970345
183	0.2808694126
184	0.2802591389
185	0.2796230705
186	0.2790662285
187	0.2784893788
188	0.2782072729
189	0.2775558939
190	0.2769778505
191	0.2764649683
192	0.2758632582
193	0.2752849553
194	0.2751594855
195	0.2746580734
196	0.274108212
197	0.2737077985
198	0.2733147031
199	0.2729253445
200	0.2722435776
201	0.2719528302
202	0.2712863221
203	0.2710025035
204	0.2705628791
205	0.2698021714
206	0.2694793234
207	0.2692344302
208	0.2687168251
209	0.2683499395
210	0.2679548199
211	0.2674392389
212	0.2670806314
213	0.2668631936
214	0.2662909112
215	0.2658956619
216	0.2654262205
217	0.2649698841
218	0.2647792271
219	0.2644283788
220	0.2638559666
221	0.2634450173
222	0.2627816233
223	0.262542543
224	0.262034254
225	0.2617493195
226	0.2612918413
227	0.2610032218
228	0.2607748071
229	0.2604103088
230	0.260000683
231	0.2595292435
232	0.2589589852
233	0.2586374088
234	0.2581349587
235	0.2576473522
236	0.2570870588
237	0.256602696
238	0.256219825
239	0.2557185426
240	0.2554680961
241	0.255198057
242	0.2546071682
243	0.2542883425
244	0.2538479915
245	0.2532824562
246	0.2528394323
247	0.2525352945
248	0.2520141602
249	0.2517941014
250	0.2514364281
251	0.2509024484
252	0.2504848039
253	0.2501976636
254	0.2497218126
255	0.2495164417
256	0.2491305864
257	0.2487484679
258	0.2483533742
259	0.2481738759
260	0.2477311374
261	0.2474936141
262	0.2469740628
263	0.2464915165
264	0.2460583019
265	0.2457674766
266	0.2455648305
267	0.2452094149
268	0.2447633289
269	0.2446740598
270	0.2442583876
271	0.2438109521
272	0.2435364237
273	0.2431696159
274	0.2426777535
275	0.2421627953
276	0.2418762259
277	0.2416685195
278	0.2413134932
279	0.2408608677
280	0.2405224495
281	0.2400397995
282	0.2396762355
283	0.2393519084
284	0.2389692968
285	0.2386392606
286	0.2382865958
287	0.2380625926
288	0.2378483986
289	0.2375347112
290	0.2371851084
291	0.2367477417
292	0.2363673878
293	0.2361236365
294	0.2358316434
295	0.2353163479
296	0.2348849757
297	0.2344527472
298	0.2342012626
299	0.2338016017
300	0.2332845415
301	0.232959384
302	0.232686724
303	0.2324210446
304	0.2320328278
305	0.2316014037
306	0.2312243715
307	0.230889249
308	0.2305789351
309	0.2302590195
310	0.2300684403
311	0.2298082365
312	0.2294872829
313	0.2291699364
314	0.2287518248
315	0.2285189985
316	0.2281675274
317	0.22761245
318	0.2274264381
319	0.2271815449
320	0.2268207057
321	0.2267029431
322	0.2264826249
323	0.2260878686
324	0.2257774768
325	0.2254573277
326	0.2250290176
327	0.2246884716
328	0.2242142554
329	0.224001878
330	0.2238202257
331	0.2236053052
332	0.2232648888
333	0.222828093
334	0.2225506841
335	0.2222254747
336	0.222068605
337	0.2219031457
338	0.2215429293
339	0.2212991779
340	0.2209060046
341	0.2205915905
342	0.2201782019
343	0.2199546139
344	0.21974042
345	0.219217002
346	0.2188898722
347	0.2186203003
348	0.2183902766
349	0.2182224819
350	0.2180345756
351	0.2176694286
352	0.2173687033
353	0.216971871
354	0.2166591956
355	0.2163248257
356	0.2160157184
357	0.2156339632
358	0.2154084809
359	0.2150704909
360	0.2148866589
361	0.2145766044
362	0.2144505118
363	0.2142590763
364	0.2139400301
365	0.2137988603
366	0.2136188689
367	0.2131202464
368	0.2129149275
369	0.2126554502
370	0.2124032261
371	0.2122451237
372	0.2119523392
373	0.2116219138
374	0.211245167
375	0.2109488273
376	0.2106997042
377	0.2104429517
378	0.2100736657
379	0.2098771699
380	0.2095207941
381	0.209331201
382	0.2089585544
383	0.2087562198
384	0.2085616702
385	0.208250967
386	0.2080612961
387	0.2077283794
388	0.2075564196
389	0.2074619345
390	0.2074124991
391	0.2070007194
392	0.2066533225
393	0.2065005659
394	0.2062494317
395	0.2059061479
396	0.205657959
397	0.2053850395
398	0.2050787997
399	0.204753227
400	0.2044688115
401	0.2043829678
402	0.2041917139
403	0.2039005643
404	0.2036741996
405	0.2034753553
406	0.2032857233
407	0.2030619926
408	0.2027550263
409	0.2025669513
410	0.2023485923
411	0.202128326
412	0.201819076
413	0.2016300539
414	0.2013943341
415	0.2011212719
416	0.2008724342
417	0.2006375319
418	0.2003477317
419	0.2000972203
420	0.1998065767
421	0.1994036979
422	0.1992031668
423	0.1988925934
424	0.1986507234
425	0.1981610927
426	0.1979440053
427	0.1977863961
428	0.1975678035
429	0.1973459412
430	0.1969330976
431	0.1966355123
432	0.1963415081
433	0.196051669
434	0.1958031687
435	0.1954963061
436	0.195227876
437	0.1950427205
438	0.1946727208
439	0.1943725664
440	0.1941634457
441	0.1938826892
442	0.1937256119
443	0.1934332556
444	0.1931270937
445	0.1929160527
446	0.1925901556
447	0.1922476113
448	0.1920092965
449	0.1918723437
450	0.191567129
451	0.1912122843
452	0.190891214
453	0.1905734523
454	0.1901570534
455	0.1897741694
456	0.1895209851
457	0.1892253071
458	0.1889739004
459	0.1887887059
460	0.1885245706
461	0.1881604876
462	0.1877731142
463	0.187512534
464	0.187398119
465	0.187211147
466	0.1871317001
467	0.1868645545
468	0.1864921674
469	0.1862495578
470	0.1858787277
471	0.1856110761
472	0.1853085862
473	0.1850901753
474	0.1848477733
475	0.1847190857
476	0.1844634491
477	0.18414173
478	0.1838935541
479	0.1836780885
480	0.1834373215
481	0.1832192739
482	0.1829104002
483	0.1826729677
484	0.182313958
485	0.182193834
486	0.1820118833
487	0.1817201108
488	0.1816344358
489	0.1814712732
490	0.1811678101
491	0.1808493348
492	0.1806933604
493	0.1805101641
494	0.1804073489
495	0.1801195729
496	0.1799489754
497	0.1797505852
498	0.1794605125
499	0.1792411026
500	0.1790717118
501	0.1788823783
502	0.1787247171
503	0.1782889074
504	0.1780380586
505	0.1777193498
506	0.1774578873
507	0.1773736915
508	0.1771398921
509	0.1768739402
510	0.1766792868
511	0.1764685313
512	0.1763217563
513	0.1761529624
514	0.1760191755
515	0.1758531454
516	0.1757181388
517	0.1755079153
518	0.1752978474
519	0.1751768411
520	0.1749769328
521	0.1747770893
522	0.174548999
523	0.1743594319
524	0.1741794015
525	0.1739888872
526	0.1737254007
527	0.1735211846
528	0.173266586
529	0.1730515357
530	0.1728151282
531	0.1726151551
532	0.1724085905
533	0.1721401863
534	0.1720072428
535	0.1718204654
536	0.1717035462
537	0.1714756635
538	0.1713590817
539	0.1710617169
540	0.1709297336
541	0.1706119719
542	0.1703494325
543	0.1701681695
544	0.1699608783
545	0.1697579987
546	0.1695032185
547	0.1694165314
548	0.1692956418
549	0.1689254865
550	0.1686404222
551	0.1684172754
552	0.1682197675
553	0.1679970359
554	0.1678895885
555	0.1676713334
556	0.1675290218
557	0.1672153213
558	0.1669879576
559	0.1667691834
560	0.1665550024
561	0.1663789684
562	0.1662476468
563	0.166051138
564	0.1657982002
565	0.1655541245
566	0.1653415135
567	0.1651918839
568	0.165076431
569	0.1647924696
570	0.1646477836
571	0.1644378714
572	0.1642805087
573	0.164117346
574	0.1639197862
575	0.1637514075
576	0.1636055019
577	0.1634814464
578	0.1633143782
579	0.1630942157
580	0.1627233077
581	0.1626040919
582	0.1624407347
583	0.1623280843
584	0.1621811536
585	0.1618987362
586	0.1616729165
587	0.1613682857
588	0.1611161135
589	0.1609625265
590	0.1607902683
591	0.1607766184
592	0.1604960176
593	0.1602219173
594	0.1599310272
595	0.1598109939
596	0.1596205316
597	0.1594459248
598	0.159158512
599	0.1590104655
600	0.1587183297
601	0.1584242477
602	0.1582502248
603	0.1580584779
604	0.157906435
605	0.1577583365
606	0.1575503447
607	0.1574378241
608	0.1572773343
609	0.157133323
610	0.1569465326
611	0.1567272005
612	0.156536777
613	0.1563263458
614	0.1561200667
615	0.1559431634
616	0.1557863067
617	0.1556637044
618	0.1554623818
619	0.1553224317
620	0.1551977145
621	0.1549320351
622	0.1547678733
623	0.1546205663
624	0.1545554181
625	0.1543426514
626	0.1540780619
627	0.153848661
628	0.1537027164
629	0.1534880554
630	0.1533209223
631	0.1531068971
632	0.1528303056
633	0.1526770949
634	0.1524761615
635	0.1523863085
636	0.1522273109
637	0.1521397675
638	0.1519733351
639	0.1518514854
640	0.1517740885
641	0.1515405875
642	0.1513252518
643	0.1510944756
644	0.1509895844
645	0.1507867826
646	0.1506306914
647	0.1504326645
648	0.1502329768
649	0.1501391923
650	0.1499384406
651	0.1497568014
652	0.1496406737
653	0.1495286202
654	0.1493458651
655	0.1492093015
656	0.1490388728
657	0.1488708963
658	0.1486258215
659	0.1484182449
660	0.1482909845
661	0.1480364248
662	0.1478664632
663	0.1476492849
664	0.1475679177
665	0.1474856811
666	0.1471764701
667	0.1469812718
668	0.1468985162
669	0.1467651575
670	0.1466505349
671	0.1465136989
672	0.1463549088
673	0.1462342658
674	0.1458692226
675	0.1456481129
676	0.1454607256
677	0.1453511893
678	0.1452874813
679	0.1452535642
680	0.1449676436
681	0.1448831623
682	0.1447009781
683	0.1444693844
684	0.1441838271
685	0.1440592007
686	0.1439099734
687	0.1436067179
688	0.1434235865
689	0.1430948997
690	0.1429373034
691	0.142847152
692	0.1426044257
693	0.142338889
694	0.1422635293
695	0.1420839271
696	0.1420238651
697	0.1418219326
698	0.1415942964
699	0.1414540609
700	0.1413047038
701	0.1411568129
702	0.1410108553
703	0.1407982443
704	0.1405815462
705	0.1404123631
706	0.1403012178
707	0.1401394046
708	0.1400872834
709	0.1397540942
710	0.1395450255
711	0.1392964214
712	0.139276777
713	0.1391020146
714	0.1389401364
715	0.1388358032
716	0.1386391776
717	0.1384861745
718	0.1382423453
719	0.1382147082
720	0.1380818815
721	0.1379935595
722	0.1378485751
723	0.137718058
724	0.1375607341
725	0.1374550644
726	0.137256791
727	0.1371816778
728	0.1369769168
729	0.1369117944
730	0.1368476193
731	0.1367283257
732	0.1365461804
733	0.136314963
734	0.1361727033
735	0.1358993686
736	0.1357598337
737	0.1356497135
738	0.1353897432
739	0.1352787018
740	0.1352014866
741	0.1351614063
742	0.1350176026
743	0.1349639244
744	0.1348320189
745	0.1346361069
746	0.134535809
747	0.1343873731
748	0.1342755791
749	0.1340798878
750	0.1338842094
751	0.1337082272
752	0.1335863386
753	0.1334218914
754	0.1332458963
755	0.1329861466
756	0.132865283
757	0.1327006801
758	0.1325172502
759	0.1324162386
760	0.1322513762
761	0.1320024737
762	0.1318117907
763	0.1317020857
764	0.1315087948
765	0.1312372117
766	0.1311598927
767	0.131070935
768	0.1308591414
769	0.1306016364
770	0.1303061141
771	0.1301240856
772	0.1300372429
773	0.1298878339
774	0.1296849543
775	0.1294418646
776	0.1292318746
777	0.1290149299
778	0.1287330057
779	0.1284690001
780	0.1282696367
781	0.1279491243
782	0.1278919947
783	0.1276344247
784	0.1275502549
785	0.127490634
786	0.1273823174
787	0.1271488942
788	0.1268543321
789	0.1267474687
790	0.126601031
791	0.1264062479
792	0.1262368702
793	0.1260689456
794	0.1258795213
795	0.1257606818
796	0.1256215102
797	0.1254771745
798	0.1253122862
799	0.1249865967
800	0.1248492805
801	0.1246415093
802	0.1244876109
803	0.1243797614
804	0.1242742214
805	0.1241277967
806	0.1239885862
807	0.1239438868
808	0.1238246191
809	0.123526385
810	0.1233561509
811	0.1232590448
812	0.1231075598
813	0.1230138402
814	0.1228919256
815	0.1227090537
816	0.1225560117
817	0.1224452298
818	0.1222345391
819	0.1221647327
820	0.1219788636
821	0.1218502927
822	0.1217466341
823	0.121603077
824	0.1214730658
825	0.1213050894
826	0.1211220878
827	0.1209984345
828	0.120923477
829	0.1207823202
830	0.120691001
831	0.1205684506
832	0.1204561766
833	0.1202418009
834	0.12017023
835	0.1200586825
836	0.1199650797
837	0.1198192129
838	0.1196656519
839	0.1194506405
840	0.1193282718
841	0.1192294659
842	0.1191313607
843	0.1189862595
844	0.1188191524
845	0.1186704571
846	0.1185483868
847	0.1184463631
848	0.1183071526
849	0.1180254099
850	0.1179010041
851	0.1177037557
852	0.1175502855
853	0.1174911188
854	0.1172013056
855	0.1170531811
856	0.116929476
857	0.1167967141
858	0.1165945871
859	0.1164162045
860	0.1163374583
861	0.1162573107
862	0.1159569877
863	0.11570187
864	0.1155691082
865	0.1153672666
866	0.1152466365
867	0.1151807357
868	0.1149852649
869	0.1148730038
870	0.1146628711
871	0.1145104519
872	0.1143119838
873	0.1142600702
874	0.1141604988
875	0.1141011504
876	0.1139813637
877	0.1138483943
878	0.1135747222
879	0.1134625908
880	0.1133237696
881	0.1130815104
882	0.1128128856
883	0.1127218519
884	0.1125595197
885	0.1124597666
886	0.112275714
887	0.1122205825
888	0.1120900524
889	0.1119899101
890	0.1118382305
891	0.1116626506
892	0.1115126577
893	0.1112642613
894	0.1111479
895	0.1110584882
896	0.1109595656
897	0.1108040453
898	0.1107131673
899	0.1106542471
900	0.1105195389
901	0.1102569476
902	0.1100564684
903	0.1099117824
904	0.1098513441
905	0.1097790595
906	0.1095905434
907	0.1094597278
908	0.1093064522
909	0.1092218412
910	0.1091283941
911	0.1089647124
912	0.1088402547
913	0.1087422274
914	0.1086440249
915	0.108569515
916	0.1085160703
917	0.1083306488
918	0.1080965185
919	0.1079585276
920	0.107793821
921	0.107604416
922	0.1073560974
923	0.1072195533
924	0.1070621646
925	0.1069347875
926	0.1068026225
927	0.1067172524
928	0.1065646191
929	0.1065350682
930	0.106457613
931	0.1064035584
932	0.1062836939
933	0.106148882
934	0.1060483569
935	0.1059165552
936	0.1058579529
937	0.105710075
938	0.105598294
939	0.1054613671
940	0.1053088441
941	0.1050869689
942	0.1049463441
943	0.1048755646
944	0.1046349597
945	0.10447833
946	0.1042608858
947	0.1041196058
948	0.1041030365
949	0.1038729025
950	0.103661907
951	0.1035053616
952	0.1034152167
953	0.1032609356
954	0.1030479678
955	0.1028782786
956	0.102726599
957	0.1026395227
958	0.1024262694
959	0.1022638464
960	0.1020502233
